City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cape Town,-33.9258,18.4232,66.99,88,0,3.44,ZA,1613192304
Vanavara,60.34,102.2797,-10.95,87,100,3.65,RU,1613192304
Marrakesh,31.6315,-8.0083,51.8,82,0,3.44,MA,1613192304
Mataura,-46.1927,168.8643,66.99,71,31,4.0,NZ,1613192305
Tasiilaq,65.6145,-37.6368,32.0,64,90,41.43,GL,1613192305
Norman Wells,65.282,-126.8329,-20.2,83,20,6.96,CA,1613192305
Nikolskoye,59.7035,30.7861,3.2,78,75,2.24,RU,1613192305
Rikitea,-23.1203,-134.9692,79.48,77,8,12.59,PF,1613192306
Wooster,40.8051,-81.9351,23.0,79,1,8.05,US,1613192183
Thompson,55.7435,-97.8558,-38.2,67,1,2.3,CA,1613192306
Tuktoyaktuk,69.4541,-133.0374,-9.4,84,75,5.75,CA,1613192306
Rakiv Lis,51.6217,24.9243,9.52,90,100,18.84,UA,1613192306
Kavaratti,10.5669,72.642,80.85,64,49,6.31,IN,1613192307
Port Alfred,-33.5906,26.891,75.99,94,87,4.0,ZA,1613192307
Tessalit,20.1986,1.0114,67.69,21,0,15.43,ML,1613192307
Pisco,-13.7,-76.2167,73.4,73,0,10.36,PE,1613192109
Saint George,37.1041,-113.5841,52.0,43,1,2.68,US,1613192115
George Town,5.4112,100.3354,91.4,46,20,6.91,MY,1613192202
Abonnema,4.7084,6.7931,79.2,84,100,3.02,NG,1613192308
Yenagoa,4.9247,6.2642,77.23,90,100,2.13,NG,1613192122
Bluff,-46.6,168.3333,66.99,71,50,4.0,NZ,1613192309
Atasū,48.6814,71.6433,20.41,95,57,7.09,KZ,1613192309
Albany,42.6001,-73.9662,12.0,51,79,4.09,US,1613192309
Dandong,40.1292,124.3947,43.97,70,100,4.56,CN,1613192309
Gizo Government Station,-8.103,156.8419,84.54,70,71,8.41,SB,1613192210
Phonhong,18.5007,102.4166,80.6,47,39,4.61,LA,1613192310
Bambous Virieux,-20.3428,57.7575,82.99,69,75,13.8,MU,1613192310
Saint Paul Harbor,57.79,-152.4072,35.6,75,90,14.97,US,1613192310
East London,-33.0153,27.9116,69.8,94,0,4.61,ZA,1613192311
Carnarvon,-24.8667,113.6333,84.2,89,90,12.66,AU,1613192041
Naze,28.3667,129.4833,68.0,83,75,23.02,JP,1613192311
Östersund,63.1792,14.6357,21.2,79,49,18.41,SE,1613192311
Kiryat Gat,31.61,34.7642,52.0,83,0,2.86,IL,1613192311
Gigmoto,13.7796,124.39,79.14,84,72,11.88,PH,1613192312
Coquimbo,-29.9533,-71.3436,60.8,88,0,4.61,CL,1613192312
Kapaa,22.0752,-159.319,73.4,64,1,4.61,US,1613192032
Saint-Augustin,51.226,-58.6502,7.56,91,1,10.4,CA,1613192312
Busselton,-33.65,115.3333,81.97,37,0,5.79,AU,1613192313
Atuona,-9.8,-139.0333,79.16,79,1,15.59,PF,1613192313
Ponta do Sol,32.6667,-17.1,55.0,72,23,3.0,PT,1613192313
Beyneu,45.3167,55.2,38.21,78,38,20.98,KZ,1613192313
Mar del Plata,-38.0023,-57.5575,69.8,94,90,9.22,AR,1613192309
Chalisgaon,20.4667,75.0167,83.61,17,0,3.56,IN,1613192314
Mount Gambier,-37.8333,140.7667,68.0,56,90,14.97,AU,1613192314
Hobart,-42.8794,147.3294,69.01,59,40,12.66,AU,1613192314
